Test
Latitude	Longitude	Alpha	
       1.3350821       157.06665    0.0047156595
       1.3936191       157.05344    0.0047156595
       1.4521562       157.04024    0.0081939204
       1.5104389       157.02704    0.0012373986
       1.5689760       157.01384    0.0081939204
       2.7386937       156.75082    0.0045977887
       2.7972779       156.73756     0.010453590
       2.8558745       156.72435     0.010453590
       2.9142172       156.71112     0.012405523
       2.9728119       156.69815     0.016309391
       3.0311546       156.68492    0.0085016560
       3.0897646       156.67174     0.010453590
       3.1483748       156.65855    0.0045977887
       3.2067308       156.64537     0.012201593
       3.2653408       156.63219     0.010281746
       3.3237112       156.61903    0.0064420535
       3.3823211       156.60585     0.017961132
       3.4406915       156.59270     0.017961132
       3.4990795       156.57933    0.0083618999
       3.5577040       156.56618    0.0064420535
       3.6160898       156.55307     0.012201593
       3.6747298       156.53995    0.0026023607
       3.7331183       156.52658     0.023720671
       3.7917581       156.51347     0.016041286
       3.8501604       156.50040    0.0026023607
       3.9085655       156.48706    0.0083618999
       3.9672217       156.47398    0.0045222071
       4.0256443       156.46069    0.0026023607
       4.0840468       156.44762    0.0083618999
       4.1424694       156.43431    0.0043956233
       4.2011461       156.42102    0.0081280677
       4.2595658       156.40797     0.013726619
       4.3180075       156.39471    0.0081282988
       4.3764491       156.38145    0.0062626537
       4.4351416       156.36845    0.0081287605
       4.4935827       156.35518     0.011860974
       4.5520444       156.34196     0.011861436
       4.6104856       156.32869     0.015594111
       4.6689467       156.31546    0.0025320561
       4.7274284       156.30228    0.0081303766
       4.7858896       156.28905    0.0025320561
       4.8443718       156.27585     0.011862590
       4.9028540       156.26266    0.0043974704
       4.9613361       156.24947    0.0062640389
       5.0198183       156.23627    0.0062647315
       5.0783219       156.22311     0.011566048
       5.1368299       156.20970    0.0097466260
       5.1953335       156.19653    0.0042883590
       5.2538371       156.18336    0.0061073311
       5.3123641       156.17024    0.0024684864
       5.3708944       156.15686    0.0097468510
       5.4294214       156.14374    0.0097468510
       5.4879518       156.13036     0.011566048
       5.5462246       156.11722    0.0024689366
       5.6047792       156.10387   0.00064973937
       5.6633296       156.09077     0.018843738
       5.7218838       156.07742    0.0042883590
       5.7802062       156.06436    0.0061077813
       5.8387856       156.05104    0.0097466260
       5.8973651       156.03772    0.0024689366
       5.9556913       156.02440     0.013385471
       6.0142665       156.01134    0.0079534317
       6.0728717       155.99805    0.0079534317
       6.1312242       155.98477   0.00065166328
       6.1898298       155.97148    0.0061279896
       6.2481818       155.95819     0.011604316
       6.3068147       155.94493    0.0024771054
       6.3651943       155.93167    0.0079534317
       6.4235740       155.91841    0.0061279896
       6.4822063       155.90515    0.0043025475
       6.5405855       155.89189    0.0079534317
       6.5992460       155.87868    0.0024771054
       6.6576533       155.86545    0.0097788738
       6.7160611       155.85222     0.011604316
       6.7745023       155.83876    0.0043025475
       6.8331923       155.82558     0.011604316
       6.8916292       155.81238     0.018906084
       6.9500709       155.79892    0.0041874116
       7.0085073       155.78572     0.014846972
       7.0669794       155.77229    0.0041874116
       7.1254468       155.75912    0.0041874116
       7.1839137       155.74596    0.0077405983
       7.2423854       155.73253    0.0077405983
       7.3008885       155.71915    0.0041874116
       7.3593874       155.70601    0.0095174115
       7.4178905       155.69261     0.011293785
       7.4763889       155.67946     0.013070598
       7.5349245       155.66611    0.0095176314
       7.5934272       155.65269    0.0077410380
       7.6519628       155.63933    0.0059642247
       7.7102799       155.62601     0.013070378
       7.7688098       155.61288    0.0059640050
       7.8273792       155.59955    0.0077405983
       7.8859482       155.58621    0.0077176805
       7.9442654       155.57286     0.011260247
       8.0028687       155.55956   0.00063232909
       8.0611858       155.54620    0.0094889636
       8.1197891       155.53290     0.011260028
       8.1781406       155.51958    0.0094887445
       8.2367802       155.50630    0.0094889636
       8.2951365       155.49274    0.0024038313
       8.3537750       155.47945    0.0041748952
       8.4121628       155.46616    0.0094883062
       8.4705496       155.45287    0.0059457400
       8.5292301       155.43936    0.0094878679
       8.5876541       155.42610    0.0059453018
       8.6460781       155.41284    0.0059453018
       8.7045078       155.39932    0.0094878679
       8.7631826       155.38605    0.0077168040
       8.8216496       155.37256     0.016222791
       8.8801107       155.35933     0.014489366
       8.9385777       155.34584    0.0058203131
       8.9970779       155.33263    0.0040864596
       9.0555449       155.31914     0.014489581
       9.1140509       155.30566    0.0075541666
       9.1725502       155.29245    0.0075541666
       9.2308455       155.27902   -0.0011157444
       9.2893505       155.26555    0.0058200986
       9.3478966       155.25211     0.012755513
       9.4064360       155.23892   -0.0011146719
       9.4647303       155.22548     0.012755942
       9.5233164       155.21207    0.0075545956
       9.5819035       155.19865    0.0040862451
       9.6402388       155.18523    0.0075539521
       9.6988249       155.17181    0.0040864596
       9.7572031       155.15842    0.0058552018
       9.8157883       155.14499   0.00062231463
       9.8741655       155.13159    0.0076000730
       9.9327936       155.11819    0.0058556334
       9.9912205       155.10458    0.0076000730
       10.049598       155.09117    0.0041111938
       10.108018       155.07780     0.011088952
       10.166689       155.06442    0.0076000730
       10.225161       155.05083    0.0023667542
       10.283580       155.03745    0.0041111938
       10.342045       155.02409    0.0093445126
       10.400516       155.01050     0.012833392
       10.458980       154.99713    0.0093449442
       10.517496       154.98355    0.0041116255
       10.576005       154.97023    0.0041116255
       10.634521       154.95665     0.012834039
       10.693030       154.94331     0.010962902
       10.751296       154.92972     0.023034683
       10.809852       154.91641    0.0023407812
       10.868414       154.90285    0.0040655041
       10.926726       154.88928    0.0040657175
       10.985281       154.87598    0.0092392462
       11.043890       154.86243    0.0040648640
       11.102250       154.84889    0.0057893736
       11.160859       154.83534     0.014411708
       11.219218       154.82179    0.0057893736
       11.277626       154.80827    0.0057891602
       11.336284       154.79475     0.010962902
       11.394685       154.78149    0.0075138832
       11.453093       154.76796    0.0057893736
       11.511499       154.75443     0.010962902
       11.569963       154.74066    0.0075132431
       11.628421       154.72716    0.0077798962
